Address,Building,Organization
临水苑,,（放到楼梯里就可以了）
茶山镇,,你要的幸福餐厅
缪家村桥西,,洛梵印象美容美发
新东公路,,万翔寝具
退货地址为：,,梅花楼电信大楼
中医院,,新塘第一幼儿园（金城路涝湖村委旁
建材大市场,,通友辅料公司
钱江新城,,东方文具礼品店
南，,,广发银行
，农贸市场,,政府天生堂药店旁南兴村
西许村东许,,单园衣尚服装店
杭二棉城北新村,,新世纪汽车市场
墩郎王,,王家阿良造型渔具
北干,,）友成置业
学士桥,,南第二排第六憧西
转湘山路,,华竞集团
万江区,,万向精工
义蓬镇春益,,电厂宿舍单身公寓
大明路,,电商工厂
水城二街,,天宇印染有限公司
油树下,,东方美理发店旁边的饺子店
山里王,,组娇娇猫童装
坎山人民路,,米铭港机械
三泉王村,,中纺集团二分厂
到底（,,售后组陈诚（不收平邮和到付
高埗镇,,移动通信产业园
萧邵路,,红垦农场红十五线东则杭州恒氏实业有限公司
丰乐路,,浙江东南薄板有限公司
沁茵园,,杭州恒凯鞋业
优胜路,,杭州环迪
群围村,,维忠五金油漆辅料批发
（新农村,,渔府酒店向东
西兴路,,米鹰隆电脑
向阳村,,和河中路交接口红绿灯旁边
黄山工业区,,银通大厦汇德隆家电广场
隆昌超,,（杭州银行萧山支行）
新龙二组,,卓雅业余学校
滨文路,,杭州圣仪有限公司
党山路,,米湘湖家园
前塘村,,（杭州澳兴纺塑有限公司
江沿村,,（鞋城
白浪村,,原华莺纺织
文化创意产业,,坎山幼儿园
塘下楼,,永杰新材料股份有限公司
东藩路,,三头村海菱电器设备有限公司
三江新村小区,,航民达美染整有限公司
。市心南路,,联华新村巨邦刺绣
新和社区,,新雅达有限公司
北干二,,佳禾机械
试验区,,围垦区围垦外六工段萧山城市绿色能源有限公司
垦辉五路,,城区开元加州阳光小区
电动车,,依维柯有限公司
高教园耕文路,,米萧山铁路供电工区综合楼
枫桥村,,老吉达莱鞋业
西河沈,,紫尔营销部
花神庙,,钱江世纪城利二花苑
嘉峪关市,,（杭州永磁集团）
南南阳街道,,公园新益佳超市东边第二家
永福路,,佳菱机械制造有限公司
推官房,,大江东办事中心
里江二路,,义蓬购物中心二楼卡琪屋童装店
东山村,,云峰村村牌华联超市
西直路,,康大博顿科技园
百尺溇路,,湘妃国际志刚美业
楼塔镇上羊,,米币控四楼普哆衣
廖家村,,，招永欢收
府前路,,富丽达集团杭州进出口有限公司
，瓜沥镇,,（欢欢饭店内）
党山梅林,,章潘桥村犁头金自然村杭州千里马纺织有限公司
老虎洞村,,杭州浙晨橡胶有限公司
江东产业集聚区,,花果山路尚轩厂旁边
木汀徐,,高运商贸城
久联村,,神超机械旁电脑手机店
回阑路,,第一中等职业学校一号教学楼
高桥路与,,瑞州超市鞋服部
自立路,,新世界财富中心
萧山风情大道,,杰牌控股集团
大义村,,倍力绣品有限公司
南兴东区,,精神病院
佳丽花边,,膜处理所
新菜场旁,,孙国桥开淘宝店这里）
长山三号桥,,拒收到付件和平邮件！拒收龙邦德邦宅急送快捷速尔，否则买家承担相关损失哦
新厂区,,人民政府边（杭州意美汽车部件（齿轮）有限公司
甘肃省,,南城嘉园
钱江世纪新城,,后门走出向西第
山南吴,,杭州东南染整有限公司
滨水茗庭,,市北后勤基地
北干城建公寓,,具体地址请联系在线客服
金恵路,,赭东家苑东大门林君汽修
江东工业区,,隔壁，隆旺物流
南阳大道,,新蕾学校
宁税路与,,老婆大人零食店
中心幼儿园,,第二初级中学
三浦村,,不要在快递单上打印相关产品信息
道江东三路,,杭州佑展实业有限公司
联丰社区,,浙江法君律师事务所
渡头村,,边，中南钢构
利民坝,,浙商银行
钱塘一品,,雪花啤酒厂
百尺楼,,南岸花城梅洲苑
，兴议村,,（第四化工厂
新大桥南,,汇德隆家电超市
党山天河路,,金色钱塘商铺
十里铺,,，中森毛织厂，鸿森办房
镇龙殿村,,杭州永腾包装制品有限公司杭州萧山河上联合村
甘露老街,,杭州航民美时达印染有限公司
所前工业园区,,盈丰骨伤科医院
保亿中心,,杭州双鸟柴油机有限公司
凤凰大厦,,银盛商务酒店
凤凰路,,翠姐姐农家大院
种鸡场,,浙江省地质调查院
璇山下,,戈雅公寓春雨苑
雁地路,,红垦农场红垦加油站
萧山育才路,,加洲阳光单身公寓大厅
交汇处,,乐惠多超市
西市街,,友谊学校
湘湖科创园,,中国）有限公司
临隆支路,,财和湘域湾
萧南村,,金地天逸
萧山北干,,顺发美之园美林苑
黄山工业园,,世外桃源皇冠假日酒店
大酒店,,国土资源局瓜沥管理所四楼瓜沥运管所
商贸中心,,建设银行
五桂山,,东复线婉饰琳家纺三楼九牧赛骋
新街路,,（持续退货率超过
明朗村,,皇冠王
金城花园,,杭州泛亚休闲用品有限公司
新市民住宅区,,戈雅公寓戈雅街
惠南路,,采购单号，发物流的货麻烦先确认是否到达该地址，到不了的后果自负）
变电所路,,九州通集团杭州医药公司
知稼宛六栋,,宏图小学
盐场一组,,恒泰御庭园物业速递易
巿心北路,,汇林科技创意园
浅水湾,,萧山第十一高级中学
赭东小区,,杭州正大纺织有限公司
南堤路,,杭州乐园威尼斯水城
昇光村,,西区美林苑
容美发,,哈林造型
沈家里社区,,鼎赞发艺
楼塔镇对溪,,网屏公司
茂盛路,,何童埠康城汽车附件有限公司
城中花园,,杭州金龙包装有限公司
东门公寓,,渔浦小学
浦阳江,,邮政储蓄银行
，高新十一路,,世纪超市
凤凰工业园区,,小丫头足浴
西山路,,杭州广龙实业有限公司
群益工业区,,阿福贝贝仓储拒收平邮及任何到付件建议退货快递用圆通申通韵达
萧山红济技术开发区,,杭州尔尔兔电子商务有限公司
旗杆路,,恒源国际财富中心安能物流
步行街,,汇金中心
横二路,,浙江东南网架股份有限公司
万家路,,同意退款后五天内退回，超过拒收不处理，拒收全峰
花市街,,（杭州绿洲休闲用品有限公司
航民工业园区,,杭州萧山区北干一苑星都花园
姜家坎,,坤圣辅料
党山长联村,,（请寄回时里面写上一张纸条，写上您的旺旺
运西村,,浙江盛元化纤有限公司纸管部
新发王村,,世纪联华超市红绿灯路口（女人家烤肉馆
凌家里,,三下饭店
前进工业区,,易咖网咖
金泰苑,,萧山国际机场内浙江中宇航空发展有限公司
新义名苑,,汤姆酒店后面发源地理发店
洪家潭,,杭州康利实业有限公司
岸花园,,农贸市场御足堂
纬二路,,杭州宝信
苎萝村,,民兵训练基地旁
延伸段,,杭州海德世拉索有限公司
下潦村,,，春晓苑
六中大道,,萧山开发区渔家功大酒店财务部收
风情雅苑,,东潘中路清和园
杭州汇,,（漂靓宝贝）
临隆路,,萧山浙江建设职业技术学院
道江东一路,,普特教育
长弄堂路,,联创空间
金诚路,,飘马皮革（原虎峰鞋厂内
第三工业区,,万科世纪之光售楼处二楼企划办公室
丰北一苑,,道前进老车站
丰北三苑,,北村晨邦卫浴
三鹰路,,永泰丰新天地永泰丰广场
！萧山区,,横筑塘联合一百
公园西路,,盈丰新华骨伤科医院一楼输液室
新峰村,,杭州新世纪万向节公司
高新区,,咭味哆
利一路,,金一社区服务站
安桥社区,,杭州雅马哈有限公司吉他涂
萧山闻堰,,豪利贵族
华瑞晴庐,,杭州海利机械有限公司
城厢镇街道,,（爱心大药房吟龙店
金峰四路,,康盛别克
北干新安寓,,荣盛石化有限公司聚合部
鲁公桥,,组菜场旁的手机店
北村,,广元公寓华联超市
浦二村,,萧山区中医院门诊楼四楼医院感染管理科
新安社区,,美尚城美发会所
十一组,,，文开纺织品
荷花园,,德意电器
块鸿达路,,品全超市
胜达工业园,,原创定制收
荣新村盛家坞路,,杭州乐园边上
与江滨,,农贸市场美丽有约肥美无限
党山井岭路,,萧山雅马哈乐器有限公司
云峰村,,第三幼儿园
井岭,,银隆百货四楼鲨鱼专柜
极地海洋,,西纳维思服装服饰有限公司
公园湘湖路,,宇峰车业
党山山,,（超市代收）
汽车城,,华瑞晴庐售楼部
大江东产业聚集区,,浙江益南化纤集团有限公司
杭州江东工业园区,,宏伟中学
裘家坞村,,萧山高教园浙江旅游职业学院小吃街入口吉祥馄饨店
瓜港西路,,祥腾财富中心
周家河头,,杭州萧山闻堰镇南岸花城枫江苑
临江商贸城,,钱江职高
北干一苑路,,旺角城西门
九浪山,,鑫均卫浴
临北村,,周末节假日都有人请照常送件）
，金鸡路,,道蓝领公寓
东恩村,,宏拓包装材料有限公司
块高新九路,,杭州航民达美染整有限公司
山南富村村,,保利霞飞郡售楼部
萧山临浦,,）杭州中天玻璃有
阳光华庭,,楼塔镇楼塔镇恒成商务酒店
青西四路,,为民停车场内东大物流公司
商会大厦,,达利中国有限公司
南翔名苑,,越秀假日酒店
育才南路,,恒达集团内加红麻将机厂
果园路,,社区阿伟小店
道源桥,,盛元化纤厂
塘头钟,,顺发美之园南桦
金蜂四路,,冠豪车业门卫处
众联联合村,,众丽花边有限公司
东升镇,,萧山区国家税务局
萧山高教耕文路,,美院在线画室萧山城区
下溪滩,,兴美社
水田坂路,,一组（东丘针纺前）
新南郡,,三宏国际大厦
与垦辉,,义桥东方文化园奇景家苑
民丰工业区,,，杭州华星工具有限公司
新北一组,,益农派出所
新华缘,,杭州乐荣工业精密组件有限公司
林科技创意园,,甘露亭村胜利直路北
余家弄,,达利（中国）有限公司
璇山下村,,皇冠王车业
东庄村,,萧山万向美之园红枫
荣庄新村中区,,青龙内衣厂
新兴公寓,,浙江同济职业学院
红垦农场红泰五路,,，杭州邮政速递处理中心
南药弄,,联华新村会郎曹村管家
义桥工业园区,,三江超市
金家浜社区,,恒隆广场店哈根达斯
！宁围镇,,农贸市场西侧杭州华联超市服装部
景海湾,,杭州国良纺机五金配件厂
梅林湾大桥旁,,科尔禧善珠宝
碧苑路,,瑞邦照明
开源村,,篮球场
朱村桥,,杭州盈通科技有限公司
，湘湖路,,建盈村委桥南小店
道江东开发区,,淘气猫
东凤镇,,杭州艾弗洛电器有限公司
傅楼村,,萧山和平开锁徐家河
，鸿兴路,,杭州东兴包装厂（农村信用社
镇东路,,汇宇家居广场皇朝家私装修部
太平桥,,梅林湾石材中心
新凉亭,,【西尼电梯】
王家闸村,,九龙公司后面棋牌室
兰头角,,十四组九号蒲小萍
径游村,,萧山商业城商业城五金百货市场
桥南春晖路,,蜜果奶茶店
万达广场,,杭州启唯进出口有限公司
靖港村,,淘宝楚楚小妮收
沙田头,,楚楚小妮收
闻堰西子,,商城酒店式公寓
左山家园,,浙江网仓领跃科技有限公司
东京线,,杭州佳丽花边有限公司
中国城区,,小区物业
星联村夹灶,,忠诚医疗有限公司
党山官,,江东七路智造谷五洋建设工地
田家超,,中纺控股集团
义新街,,庆丰化纤有限公司
塘羽绒,,浙江师范大学
市（东瑞五路,,杭州澳兴纺塑有限公司
新弯街道,,顺发旺角城一期
三江花园春,,中晟控股
永翔路,,绿都湖滨花园
绣衣坊,,上岸蒋姑娘桥世纪华联附近
临浦开发,,杭州力亿轴承有限公司
杭州宁围镇,,道安鑫假日酒店
湘湖路头坞新村,,市民服务中心
湘南路,,瓜沥供电所
宏景街,,山诺典工艺品
如松村,,综合楼
华家村,,护士站
场商城中路,,湖滨小学（湖滨花园
西单元,,江南名城金座
伟南桥向南,,（城东肉联厂）杭州顺利模具有限公司
，南江村,,交叉口中粮湘湖人家家逸苑
华英新,,友成模具园
九鼎石材市,,杭州百超精密机械有限公司
长山一号桥,,红山农场二分场
浦一村,,自然堂化妆品店
凤凰镇,,前进镇胖胖网吧
旧里河路,,世纪车城东侧（萧山万国）
甘露厅村,,职工幼儿园
胜利东路,,，橡胶地毯制品厂
场一区,,六路交叉口重汽嘉泽苑
新塘派出所,,福尔特电器
皓月路与,,山里沈片（越王茶行
义蓬建,,钱江世纪城春和钱塘
东山新区,,杭州良宇纺织有限公司
，，浙江省,,杭州振亚纺织有限公司
御庭园,,市北派出所后面宁稅社区
众安国泰,,锐鹰电子商务园区
曹家桥向阳社区,,（顺发家具城对面
杭柴厂宿舍,,幢楚楚裁缝店
韩家弄,,中海印染厂
二区,,雷迪森写字楼
五一街,,钱塘江石材中心一期
高新6路,,萧山红垦农场红泰
萧山临江,,杭齿厂
（桥东）,,浙江边防总队风情雅苑
袄庄陈村,,萧山水务大厦
裕民村七路,,杭州澳美印染有限公司
佳乐苑,,旺角城金座
红十五线,,杭州萧山国际机场航空货站
朱家村,,邮政储蓄银行对面简爱造型
党山党益路,,，杨时路长龙领航后生活区
商品街,,骨伤科医院三病区
光华路,,村委会斜对面永越手机店
潮锦工业园,,口大成名座一幢
绿茵园,,汇德隆食品超市
老所前,,浙江旅游学院
祥和路,,红十五线东南新材料
新益村,,浙江杭州萧山建设四路与三益线交叉口中国邮政快件处理中心前
永泰丰,,农业银行
井头王村,,浙江旅游职业学校北校区
航谊路,,萧山商业城五金百货市场
临江新,,杭萧钢构
花园,,，达美时装
横梗头村,,萧山第五高级中学
吟新路,,浙江西子航空工业有限公司
水博大道,,爱华文具老厂
富春村,,国家电网
郑唐孔村,,尚城美业
，浦阳镇,,东路（今仁家具厂内
临江村,,银通大厦东
牌往西,,本人签收
航民工业区,,林之语疏桐苑
创慧园,,九九红水疗
区临宾路,,（德恩商场西侧，金牛管业建明水暖店对面）王兴法香烟店
吉山村,,捷安特自行车专卖店
天和路,,渭水桥村大园小学六办
江东阳光名城,,东渡人力资源大厦
嘉裕天城,,钱江电器（新厂）
振兴小区,,霞朗综合市场
白石岗,,十号水晶卫浴旁跨越速运
涝湖村西陈,,伟盛纺织新厂（杰恩达西
第二初级中学,,）三楼检测中心
塘头钟村,,（加州阳光开元百货
生活区,,门童梦奇缘儿童摄影）
康乐湾下蒋,,萧山商业城服装市场
萧山建材,,三益线旁邮件处理中心
安环南小区,,王家闸村奇达皮业
沿河路,,宁国镇鸿宁路丽晶国际一号楼
东瑞五路,,浙江杭州萧山区北干知稼苑
直石板弄,,新塘派出所对面雅丝发艺
惠南街,,黑泷太郎
廣東省,,新塘科创园
金峰小区,,瓜港三路盛夏家居旁网仓科技
田头庄,,中冠置地大厦中国人寿
民湘路,,方回春堂
高桥社区,,萧山五金机械科技创新园
奇景家苑,,浙江盛达铁塔有限公司
芙蓉苑,,纤手美容美发
万众名府,,闻堰物美收货区
利群路,,（沙县小吃）
义蓬镇头蓬街道,,浙江天蓝环保技术有限公司
小商品市场,,（祟化住宅
农协路,,食品有限公司
桥南工业区,,百尺溇怡景公寓
赵一村,,（杨业农机）
兴浦路,,杭州围海水利工程有限公司财务科收
西三路,,杭州飞虹针织服饰有限公司
王村村,,恒逸仁和实验小学
友谊村,,苹果旗舰店
渔巷路,,泛嘉国际
依江苑,,杭州萧山市心
两栋,,时代云裳
（金城路,,邮储稽核中心
红界村,,（杭州萧山兴富布业有限公司
新垦路,,党山中心小学
城乡街道,,杭州豪康幕墙装饰有限公司
青东一路,,王家里嘉乐宝汽修
段新龙,,对面欣良仓储，请务必附发货单（包含
胜利路,,杭州世标五金机械有限公司
东信莱茵苑,,浙江红苹果电子有限公司
新所前,,憧厂房凯颖儿童装
北干永久社区,,萧山机场长龙航空公司门卫
、朱家埭,,杭州萧山美特轻工机械有限公司
江东三路与,,东南纺织有限公司
肯德基,,（新益佳超市）
闻兴路与,,广东药学院中山校区
老埠头,,杭州晨阳药店
高新9路,,世安桥村和合科技集团有限公司
汪家塘,,社区新晨布厂
汪家潭,,和通家纺新厂区
，建设四路,,塘里陈新塘小学斜对面中国电信营业厅
杜家塘,,萧元纺纱
新螺路与,,振腾实业有限公司
恒安名座,,汇德隆超市烟酒柜
乌沙社区,,杭州油脂化工有限公司
城北区,,—全顺纺织
塘新线东,,货郎先生对面凰中凰电动车房东
湘西路,,京明凤凰家园七幢二单元
区三佳苑路,,（万迪门业）
谢岗镇,,欧意特电子厂门口小马路直走到底
白鹤路,,杭州乔登针织有限公司
花神庙村,,萧山综合行政执法局城厢中队
望京,,爱科科技公司
朝红新村,,同济科技职业学校
茅山新农村,,杭齿宿舍东单元
萧山靖江,,幢水晶之恋
杭齿厂家属区,,社区同和公寓
李尔长安三丰路,,口，德圣博奥城
区红石路,,今仁家居厂
船舫徐,,江南小学西侧过度房
大池娄村,,奇观大酒店北绿房子顺和轨道交通新材料有限公司
东湖村,,缪家行政村科尔南城嘉园
南朗镇,,神丽制线有限公司
戚家池,,杭州青化社化工有限公司
党山群力村,,蹓跶公寓（荷韵江南）
联东路,,麻烦联系后在派件
油车桥,,头蓬三小春园
萧山所前镇,,至高钱塘一品一幢一单元
，横蓬村,,临浦育苗学校
扬帆路,,杭州天地人和休闲用品有限公司
美之园西区,,宁牧村科峰轴承有限公司
南桦苑,,赭东家苑（赭东安置小区）第七排
富丽达,,圣山公寓
何家桥,,社区西山公寓
，通惠南路,,建强美容美发
室小雪,,萧山国际机场内杭州边防检查站
江省,,钱江冲压件有限公司
大同一村,,江东前进街道东三号闸前进指挥部（放一楼前台即可）
闻堰长安村,,第二幼儿园（南城景园对面
富业巷,,（在萧警路上
阳光路,,体育馆西大门杭州新世纪音乐学校
迎宾大道,,佳轩物流公司
二幢义桥镇,,（皖北超市附近）
桃湖灵头村,,径游村径游医院输液室
工二路,,众安房产
向红村,,洄澜北苑阳光华庭四号楼
宏河嘉园东区,,道前锋村大众面馆
，梅林大道,,金家桥丽都公寓
行头村蔚家,,原杭盛自行车厂内兽药店
高田周,,，金迈纳酒店
棉北里,,手机不接打座机
丰西路,,杭州萧山北干一苑
康家湖路,,，金鹭装饰
仙家里路,,萧九中旁边的断头路进来往西
临复路,,米左右白浪村
丁香公馆,,不收平邮和到付件
西江塘路,,陆顺冷库西三栋四楼
商业路,,、圣山集团
晋升路,,社区卫生院传关医院镇中路
下戴村,,北门崇惠学校斜对面旭可登电子厂
北塘路与,,延伸段新魁液压技术有限公司
新起点,,汉帛国际网商城
麦元村,,煜烨光电
金时利,,民生陶瓷向西
下洋桥,,米悦车汇
王有史社区,,淘酒人音乐餐厅
陈家园,,南苑蹓跶公寓
建浦路,,景明科技照明有限公司
（老社区）,,（杭州宏兴服装有限公司
桥南高新九路,,众力村十一组十号
富丽达集团,,大园中心小学
兴业路,,中国石化杭州萧山万丰石油有限公司
中堂镇,,杭州飞路科技
临江佳,,成人文化技术学校
楼塔镇楼塔,,奥凯自行车
车家埭,,杭州维亿塑业有限公司
杭州巿,,杭州富达金属材料有限公司
坎山武肃路,,杭州广印通织唛有限公司
春益五路,,杭维柯公司
潘水苑,,春和钱塘一幢一单元
南江村,,中纺控股集团有限公司二分厂
新街花木城,,室迪特钢琴
八里桥村,,街镇花城名苑
坎山工农村,,江南电机厂
过渡房,,东南新材料（杭州）有限公司
凤升村,,东方家苑
南门江,,萧山体育中心西大门杭州新世纪音乐学校
洋湖村,,（大天数控有限公司
（梅林大道,,浙江东南金属薄板有限公司普冷车间
永乐路,,瓜港三路不二家食品有限公司
云飞路,,都市女人街天海水产
民丰河村,,（杭州萧山南方建筑工程有限公司
小石桥村,,菲尼克斯电梯厂
萧山高教园,,桥头一号楼西单元
云霓路,,（博士娃幼儿园）对面小桥到底的红房子
金西路,,（旺角城一期西门店铺）
云庄宾馆对面,,恒逸仁和实验学校
萧邵东路,,和发货清单
坎山街道,,浙江普天集成房屋有限公司
草漾路,,桥里亿乐汇建材
城南灯郎张村,,圣大建设集团）
与明星路,,浙江孚达汽车有限公司
渔桩村,,国道传化公寓
达昌公寓,,杭州诚洁环保有限公司
安澜桥,,，南翔公园
南门村,,农商银行后面新塘副食品店
冮南村,,旅游职业技术学院
徐家河村,,万达中路一号欣祺装饰
金蜂三路,,景海湾物业服务中心
红山小区,,，圣山科纺集团
张家逮北路,,姚江汽修城东侧范生时装院内
（东陈,,永泰丰广场律师事务所
直街,,山河村工农兵惠隆超市
富民弄,,杭州华隆羽绒制品有限公司
华润雪,,彩妆阁
井头王公寓,,农贸菜市场
犁头金,,（周黑鸭店
萧山萧然人家,,杭州汇达绿地有限公司
靖江卫生,,旁开元旅业市南后勤基地
新河东路,,（拒收中通）
，云霓路,,上海浦东发展银行萧山支行
医院（,,（小红花幼儿园
新塘工业园,,钱江电气新厂
文杰路,,农贸市场梅芳超市
钱塘江南岸,,行政楼
憬天国际,,蓝爵国际中心
义蓬镇头蓬,,（杭州普泰密封管件有限公司
丽景小区,,恩希爱薄膜有限公司
沈家浜,,锦祺时装有限公司
利二路,,八方物流
世安桥村,,杭州纵纬针纺有限公司
联谊社区,,米阿明智能手机精品店
三江口村,,魅族专卖店
西山公寓,,奥兰多小镇
碧苑新村,,浙商银行萧山支行
新世界,,前兴村百爱卫浴
美郡园,,杭州金荣进出口有限公司
江东3路,,世纪汽车市场
义盛社区,,党山小商品市场
农运路,,浙江万达汽车零部件有限公司
水曲弄,,丹凯舞服厂
党山碧苑路,,旺角新天地美食城二楼北纬
海棠湾镇,,申通快递
八柯线,,宁波银行
东潘中路,,坎山新凉亭大花坛北
和永久路,,米新凉亭渔具店
萧山大园,,加州阳光二楼童装区
文伟村,,乐比悠悠
山里沈村,,山未址村山未址庙
新桥苑,,杭州优科豪马橡胶制品有限公司
六路,,——对面欣良仓储（拍下宝贝需要有发货清单清单上需要有留言总金额尽量不要发韵达）
顾家溪村,,广德小区东门内陈柳副食品超市
陈公桥,,浙江建设职业技术学校
定一路,,萧山义桥昇光村何家桥（篮球场
传化公寓,,（退换货请用纸条写上自己的淘宝帐号名，订单编号，请邮寄中通过来。拒收到付件和平邮
中国浙江省,,购物中心
，启迪路,,张亮桥村（德明轮胎店
甘露亭村,,恩斯克万达电动转向系统有限公司
凤山路,,杭州宇晨机械有限公司
订单号,,楼塔镇横街老电镀厂（可放宝康大药房
萧山崇化,,华润雪花啤酒
坎山国庆村,,塘头钟博士娃幼儿园
南江公寓,,章潘桥立新村
眉山路,,大门进门左拐走到底买圆球石桌堆场
头蓬闸口,,新区九鼎石材市场南
石牛山,,新塘小学
三乡镇,,保利霞飞珺
新创村村委东,,爱克斯精密钢球（杭州）有限公司
荷韵江,,丁香公馆
河杨湖,,杭州萧山国际机场集体宿舍
宏景园,,临浦健身广场浴美施路博士书屋楼上
东城科技园,,红宝石家居广场精品馆一楼顾家家居
蓝色港湾,,油车桥小常校油泵
惠业路,,宏兴服装厂
渔浦苑,,太平洋财产保险公司萧山支公司
南阳开发区,,（杭州威佳尔机械有限公司），电话打不通请打
向米美,,浙江兆奕科技有限公司
近明星路,,新街花木城二期内环
道源路北,,御景蓝湾售楼部
陈屋兴二路,,与风情大道交叉口中栋国际
旺园路,,杭州萧山河庄建设村耀东刚构
，永诚路,,伊思顿自行车有限公司
桥头陈,,管委会
北坞村,,与潘水路路口西山水苑二期
钟基郎,,朱村桥復兴村金佳塑厂內永谐科技有限公司
佛山村,,亿享金服
东阳桥社区,,（现大江东区）
新华南路,,民围村转盘慧益纺织染整有限公司四楼杭州靖珲启元贸易有限公司
南片,,章潘桥新村第九排第三栋
南三村,,杭州深广度广告有限公司
新河路,,正新鸡排
猫头山,,三宏国际
振宁路和,,良机羽绒设备二楼
（东河）,,杭州宇田科技有限公司
新塘街紫霞村,,众安景海湾
福安街,,老年病医院
政通路,,闻堰江南摩卡
新园路,,信源村大自然科纺染整
北区,,城实验小学
滘心村,,金扇子公司
永利村,,路口新白马公寓
金蜂六路,,坎山民丰河村嘉裕天城
杭州萧市,,浙江汇丽印染整理有限公司
龙井街,,朝阳轮胎厂门口）理发店剪艺人生
楼塔镇岩,,知章村寺下黄
不二家,,中国水利博物馆
朝阳村,,分局交通警察大队
左东小区,,阿牛美业
春益二路,,联佳化纤
杭州路,,保利飞霞郡
罗幕村单家,,拒收到付和邮政平邮件）
塘里陈村,,广聚公寓
保安室,,岸花园北门好便利超市
与工人路,,金凯纺织一号楼二楼
赵家墩,,河上卫生院防保科
樟树新村,,顺发康庄
蓝领宿舍,,浙江日华化学有限公司
三碰桥,,靖江街航都大酒店
和市心北路,,。汉邦机电有限公司
大通桥,,开元旅业后勤基地
路五联村,,赛峰电子
富明路,,萧山华数
党山群益村,,好克光电仪器有限公司
瓜港工业园,,交叉口东南角宝龙城市广场斜对面万科海上明月售楼部
街镇新盛村,,鼎盛服装厂雷迪森员工宿舍
龙发花,,行政管理中心机关文印中心
党山工业园,,柏桂园深蓝国际售楼中心对面工地
宏图路,,恒昌财富
上董村,,第一初级中学
远大红山家苑,,鼎盛服装厂
滨水路,,中国邮政
杜家村,,杭州新天元织造有限公司
戴家桥路,,萧山高教园浙江旅游职业学院
和建设一路,,杭州一超化工有限公司
五道路,,头蓬菜场北门尚品服饰城
纵二路,,航民股份有限公司
城皇庙路,,新感觉理发店
东瑞4路,,（八组八号
宁围建设二路,,（退货麻烦记得写上字条，内容是你的帐号。然后退货之后及时把退货单号填入退款当中）否则将无法为您处理
十四组,,（川祥黄牛火锅店
南秀苑,,平安银行
新街科创园,,社区回澜路回澜南园
顺发堤香,,浙江丰原律师事务所
桂花苑,,浙江旅院职业学院北校区
永乐新农村,,杭州东方文化园旅业集团大院内浙江杨岐进出口有限公司
祥河桥村祥利,,家中无人时请放泰富写字楼大厅）
观前路,,平和英语假日之星宿舍
万安路,,萧山十一中
拱秀社区,,钱江世纪城万和国际
洪兴路,,杭州银格旅游用品有限公司
何家弄,,（杭州万科机械有限公司
泊景湾,,与振宁路交叉口凯丽晶座
瓜港一路,,山河村凌家坞桥头
米院内,,长红农资站
吟龙村兴,,体育彩票店
新意路,,钱江世纪城
赵家湾村,,民丰行政村金域兰庭
风里王,,航民村航民百泰首饰有限公司
兴耀星悦湾,,康桥丰田
半山村,,部队依洁车业
三益线,,萧山劳动和社会保障局
区经六路,,恒泰玉庭园
浙江，,,杭州贝分科技有限公司
闻堰万达路,,平和英语村假日之星
大航壁纸,,我不是什么好人
河南省,,萧山商业城管理委员会
曙光桥,,（瀚天石文化发展有限公司
谢家北,,汇德隆家电飞利浦彩电专柜
春益四路,,永美化妆品）
萧山南阳,,佳丽花边有限公司
南山村,,办事服务中心经管科
悦来南路,,杭州太平洋保利纺织品有限公司技术科
义南新农村,,杭州江东富丽达热电有限公司
江南下定村,,华硕电脑
大湖头,,戈雅公寓里面府尚别墅
计生科,,（退换货麻烦纸条写上旺旺名和电话，很重要哦，无信息的按无主件处理，不支持到付件
岳联村欢潭,,旺角城二期金座
塘厦镇林村,,爱家装饰
，新湾商贸城,,姑娘桥上岸蒋
，致远路,,杭州双菱建筑机械有限公司
萧山永久路,,杭州管家婆软件有限公司
天巨机械南边,,兴如佳刺绣
郑州市,,交叉口盱眙郭老头龙虾
桥东路,,恒逸石化有限公司（中国银行
块春江路,,携远金融
南四街,,新沙港超盈有限公司
江南明城金座,,顺坝晶星都市村晶星农场草莓采摘园
活区,,集体公寓速递易
聚宝路,,博亨手机店
党山党柯路,,永诚保险
文耕路,,门牌紫新路
丁家庄,,银河小区
北门,,恒成商务酒店
江东新城,,湘湖人家三期中鼎苑
紫霞工业园区,,锐鹰电商园区
五号桥,,）四楼瑞奔贸易
马谷村,,一定要填写卡或者留纸条写上您的旺旺名字跟收件人的号码拒收到付件平邮件
川北路,,公里处南勤集团福建小吃
王家庄,,政府电影院
向阳嘉苑,,跨境电子商务园区
东风安置区,,富丽达集团污水处理厂
宝山区,,中国银行四季花城支行
新街农业银行,,胜祺服饰
滨河路,,东度人力大厦
丁坝村,,万达中路新亭子酒店
屋厦村,,乐购对面金马同盛两栋一单元
、江西路,,道新峰联华购物中心
新市街,,萧山机场药品物流基地
罗峰社区,,靖江第二幼儿园（原甘露幼儿园
油车桥村,,统一南门
宁税社区,,阿胖饭店旁边仓库
徐夏路,,对面欣良仓储（拍下宝贝需要有发货清单清单上需要有留言总金额尽量不要发韵达）
（义蓬中路,,龙虎村永盛卫浴三楼真誉传动
义蓬购物中心,,格悦精品酒店
新街,,方翔羽绒制品有限公司
楼下陈村,,杭州巨联幕墙材料有限公司
